구,동,인구,남자,여자
강서구,가양3동,16277,7652,8625
강서구,발산1동,38559,18367,20192
강서구,공항동,28336,14533,13803
강서구,방화1동,45847,22412,23435
강서구,방화2동,24203,11982,12221
강서구,방화3동,24582,11865,12717
강서구,화곡1동,54681,26740,27941
강서구,우장산동,45305,21727,23578
구로구,신도림동,37392,18293,19099
구로구,구로1동,22120,10881,11239
구로구,구로3동,26460,13526,12934
구로구,구로4동,26504,13440,13064
구로구,구로5동,33690,16572,17118
구로구,고척1동,24293,12179,12114
구로구,고척2동,29019,14401,14618
구로구,개봉2동,33428,16331,17097
구로구,개봉3동,22176,10857,11319
구로구,오류1동,23025,11297,11728
구로구,오류2동,51567,25087,26480
구로구,수궁동,25000,12417,12583
구로구,가리봉동,15518,8946,6572
구로구,구로2동,35481,18595,16886
구로구,개봉1동,34177,17149,17028
금천구,가산동,24497,13739,10758
금천구,독산1동,43529,22633,20896
금천구,독산2동,21602,11101,10501
금천구,독산3동,30152,15594,14558
금천구,독산4동,18444,9400,9044
금천구,시흥1동,37034,18627,18407
금천구,시흥2동,22735,11055,11680
금천구,시흥3동,11598,5808,5790
금천구,시흥4동,22246,11077,11169
금천구,시흥5동,21031,10476,10555
영등포구,여의동,34576,16312,18264
영등포구,당산1동,21509,10576,10933
영등포구,당산2동,36238,17034,19204
영등포구,양평1동,18251,9117,9134
영등포구,양평2동,22886,11432,11454
영등포구,신길1동,19730,10121,9609
영등포구,신길3동,18703,9335,9368
영등포구,신길4동,10082,5138,4944
영등포구,신길5동,10858,5408,5450
영등포구,신길6동,19593,9738,9855
영등포구,신길7동,17092,8525,8567
영등포구,대림1동,16499,8524,7975
영등포구,대림2동,21705,11361,10344
영등포구,대림3동,28879,14804,14075
영등포구,영등포본동,24989,12884,12105
영등포구,영등포동,27149,14750,12399
영등포구,도림동,21778,11116,10662
영등포구,문래동,31961,15769,16192
동작구,노량진2동,13954,7169,6785
동작구,상도1동,48372,23364,25008
동작구,상도2동,29396,14108,15288
동작구,상도3동,26111,12534,13577
동작구,상도4동,30107,14709,15398
동작구,사당1동,24139,11541,12598
동작구,사당3동,26276,12777,13499
동작구,사당4동,14902,7139,7763
동작구,사당5동,12957,6271,6686
동작구,대방동,40244,19148,21096
동작구,신대방1동,26747,13063,13684
동작구,신대방2동,20726,9963,10763
동작구,흑석동,35482,16891,18591
동작구,노량진1동,32603,16165,16438
동작구,사당2동,28471,13751,14720
관악구,보라매동,26688,13016,13672
관악구,청림동,16331,8009,8322
관악구,행운동,30276,14720,15556
관악구,낙성대동,17736,8834,8902
관악구,중앙동,15782,7547,8235
관악구,인헌동,27200,13295,13905
관악구,남현동,19032,9148,9884
관악구,서원동,24095,12256,11839
관악구,신원동,19892,10025,9867
관악구,서림동,24485,13374,11111
관악구,신사동,26161,13196,12965
관악구,신림동,22574,11376,11198
관악구,난향동,16436,8110,8326
관악구,조원동,19671,10063,9608
관악구,대학동,24603,14584,10019
관악구,은천동,35505,17398,18107
관악구,성현동,32323,15678,16645
관악구,청룡동,33607,16158,17449
관악구,난곡동,29173,14693,14480
관악구,삼성동,25454,12784,12670
관악구,미성동,32929,16122,16807
서초구,서초1동,21708,10487,11221
서초구,서초2동,18675,8949,9726
서초구,서초3동,31067,15196,15871
서초구,서초4동,31886,15456,16430
서초구,잠원동,34953,16607,18346
서초구,반포본동,12106,5694,6412
서초구,반포1동,33139,15937,17202
서초구,반포2동,16381,7809,8572
서초구,반포3동,20324,9608,10716
서초구,반포4동,20270,9593,10677
서초구,방배본동,21471,9991,11480
서초구,방배1동,17559,8245,9314
서초구,방배2동,21135,9972,11163
서초구,방배3동,22489,10841,11648
서초구,방배4동,24278,11174,13104
서초구,양재1동,46022,22005,24017
서초구,양재2동,23250,11703,11547
서초구,내곡동,18545,9030,9515
강남구,신사동,17623,8207,9416
강남구,논현1동,23810,11081,12729
강남구,논현2동,22002,10245,11757
강남구,삼성1동,14928,7481,7447
강남구,삼성2동,30362,14490,15872
강남구,대치1동,25349,12722,12627
강남구,대치4동,20937,9914,11023
강남구,역삼1동,37277,18019,19258
강남구,역삼2동,37211,17489,19722
강남구,도곡1동,22618,10702,11916
강남구,도곡2동,34385,15989,18396
강남구,개포1동,7028,3397,3631
강남구,개포4동,18485,9075,9410
강남구,일원본동,24469,12003,12466
강남구,일원1동,16556,8079,8477
강남구,일원2동,18162,8768,9394
강남구,수서동,16065,7379,8686
강남구,세곡동,45109,21514,23595
강남구,압구정동,27767,12751,15016
강남구,청담동,30132,14170,15962
강남구,대치2동,38853,19737,19116
강남구,개포2동,19915,9617,10298
송파구,풍납1동,15697,7775,7922
송파구,풍납2동,24762,11763,12999
송파구,거여1동,13273,6768,6505
송파구,거여2동,17047,8375,8672
송파구,마천1동,20833,10639,10194
송파구,마천2동,20315,10303,10012
송파구,방이1동,16515,7983,8532
송파구,방이2동,26209,12561,13648
송파구,오륜동,18917,9285,9632
송파구,오금동,40959,19968,20991
송파구,송파1동,26152,12338,13814
송파구,송파2동,20889,10091,10798
송파구,석촌동,34278,16451,17827
송파구,삼전동,32823,15647,17176
송파구,가락본동,27910,13846,14064
송파구,가락1동,27207,13225,13982
송파구,가락2동,33915,16623,17292
송파구,문정1동,21380,10597,10783
송파구,문정2동,30038,14002,16036
송파구,장지동,34113,16516,17597
송파구,위례동,28291,13783,14508
송파구,잠실본동,29680,14041,15639
송파구,잠실4동,22371,10791,11580
송파구,잠실6동,17522,8367,9155
송파구,잠실7동,10244,4774,5470
송파구,잠실2동,36853,17600,19253
송파구,잠실3동,36145,17252,18893
강동구,강일동,32377,15662,16715
강동구,상일동,10943,5455,5488
강동구,명일1동,26212,12845,13367
강동구,명일2동,18000,8870,9130
강동구,고덕1동,27334,13876,13458
강동구,고덕2동,7419,3944,3475
강동구,암사2동,14557,7083,7474
강동구,암사3동,18821,9226,9595
강동구,천호1동,28623,14090,14533
강동구,천호3동,28294,13947,14347
강동구,성내1동,20648,10001,10647
강동구,성내2동,25300,12529,12771
강동구,성내3동,23991,11882,12109
강동구,둔촌1동,287,136,151
강동구,둔촌2동,27943,13811,14132
강동구,암사1동,36975,18329,18646
강동구,천호2동,36078,18023,18055
강동구,길동,46720,22881,23839
